regime,turn,err,supplied_n,reused_n,eval_n,prompt_ms,ttft_ms,client_ttft_ms,ttft_derived_ms,ttft_source,total_ms,rebased,state_version
C rebase/10,11,,2274,2246,28,83.89,86.31,86.31,100.28,client_stream,151.95,0,2389e7e0a5e71544
C rebase/10,12,,2292,2264,28,83.33,85.88,85.88,101.28,client_stream,157.72,0,b41c1bf51da07ca2
C rebase/10,13,,2310,2282,28,83.79,86.24,86.24,102.48,client_stream,161.09,0,2dd1e09eaa12ab16
C rebase/10,14,,2328,2300,28,88.52,91.04,91.04,105.2,client_stream,157.85,0,6e6a8810eb1db8a1
C rebase/10,15,,2346,2318,28,97.31,99.86,99.86,118.88,client_stream,186.27,0,8ed461298d3b7b86
C rebase/10,16,,2364,2336,28,85.93,88.43,88.43,105.92,client_stream,168.5,0,b4eed09180a68082
C rebase/10,17,,2382,2354,28,86.45,88.95,88.95,103.12,client_stream,155.71,0,90624bb04b821f95
C rebase/10,18,,2400,2372,28,86.91,89.33,89.33,104.09,client_stream,158.14,0,6060d0ac50d9fac3
C rebase/10,19,,2418,2390,28,87.52,89.95,89.95,104.0,client_stream,155.96,0,42dcdb86f0ec5527
C rebase/10,20,,2436,2426,10,45.95,48.37,48.37,64.09,client_stream,121.0,1,7d8bc6925a3bc1c5
C rebase/10,21,,2454,2426,28,101.41,103.85,103.85,118.12,client_stream,170.72,0,872ed1557e3a1f01
C rebase/10,22,,2472,2444,28,100.82,103.25,103.25,117.51,client_stream,170.08,0,955664455b819cef
C rebase/10,23,,2490,2462,28,89.56,91.99,91.99,106.65,client_stream,160.55,0,e6c504b3a1eddb93
C rebase/10,24,,2508,2480,28,89.53,92.05,92.05,109.19,client_stream,170.9,0,1709f025e6da0654
C rebase/10,25,,2526,2498,28,90.53,93.09,93.09,107.83,client_stream,162.41,0,6bd2eddc8e8f466d
C rebase/10,26,,2544,2516,28,90.55,93.13,93.13,109.35,client_stream,168.38,0,8c94227a626cd7f1
C rebase/10,27,,2562,2534,28,97.84,100.34,100.34,115.96,client_stream,172.96,0,0cb1ccb9e92b2797
C rebase/10,28,,2580,2552,28,92.04,94.53,94.53,109.73,client_stream,165.41,0,902556e755b4e595
C rebase/10,29,,2598,2570,28,94.02,96.62,96.62,114.66,client_stream,179.3,0,de5b74b722e6bdd5
C rebase/10,30,,2616,2606,10,48.04,50.69,50.69,69.1,client_stream,135.02,1,1b45266ab9c188d3
C rebase/10,31,,2634,2606,28,96.66,99.22,99.22,114.05,client_stream,168.88,0,b3d016e7cc7998c0
C rebase/10,32,,2652,2624,28,113.58,116.73,116.73,132.06,client_stream,190.74,0,c9cab98251c013a9
C rebase/10,33,,2670,2642,28,111.82,114.47,114.47,129.25,client_stream,184.28,0,008b4fdfa3b00b50
C rebase/10,34,,2688,2660,28,99.15,101.81,101.81,118.09,client_stream,177.68,0,6ab9c8d0c7675eb2
C rebase/10,35,,2706,2678,28,99.9,102.47,102.47,117.92,client_stream,174.66,0,6e0bb6a0ca9ea2e3
C rebase/10,36,,2724,2696,28,100.82,103.51,103.51,120.92,client_stream,184.09,0,e0462d75b805b06b
C rebase/10,37,,2742,2714,28,98.2,100.93,100.93,115.46,client_stream,170.1,0,cf10f34500b990da
C rebase/10,38,,2760,2732,28,100.18,102.81,102.81,119.71,client_stream,181.05,0,df3b3945c2a239f2
C rebase/10,39,,2778,2750,28,100.17,102.76,102.76,117.48,client_stream,172.07,0,c233e49623e7d782
C rebase/10,40,,2796,2786,10,51.06,53.85,53.85,70.51,client_stream,131.71,1,e5221e0ba03eb0ec
C rebase/10,41,,2814,2786,28,100.55,103.3,103.3,118.3,client_stream,174.4,0,41bee671093c4cdc
C rebase/10,42,,2832,2804,28,102.25,104.88,104.88,120.04,client_stream,176.14,0,564a514eb7b9b11a
C rebase/10,43,,2850,2822,28,101.5,104.3,104.3,120.15,client_stream,178.99,0,623d143f07e10fc1
C rebase/10,44,,2868,2840,28,103.9,106.72,106.72,122.05,client_stream,179.44,0,951fae24d030b0fb
C rebase/10,45,,2886,2858,28,106.92,109.66,109.66,126.46,client_stream,187.91,0,8991ffd826bf9448
C rebase/10,46,,2904,2876,28,104.18,106.84,106.84,122.08,client_stream,178.67,0,2e4113df06adff3c
C rebase/10,47,,2922,2894,28,105.99,108.69,108.69,124.03,client_stream,181.07,0,0fd83775fb83fbfa
C rebase/10,48,,2940,2912,28,106.15,108.87,108.87,125.38,client_stream,185.85,0,fa472b33ba2a2ff3
C rebase/10,49,,2958,2930,28,106.02,108.65,108.65,124.36,client_stream,182.16,0,4c19b19a3c8e4b65
C rebase/10,50,,2976,2966,10,53.8,56.51,56.51,72.52,client_stream,131.51,1,0898e6464cb8f099
C rebase/25,1,,2094,2084,10,41.74,44.03,44.03,59.01,client_stream,113.2,0,3ca1c5354eb5bc6a
C rebase/25,2,,2112,2084,28,81.22,83.51,83.51,97.11,client_stream,147.18,0,bb9e6e46708f447f
C rebase/25,3,,2130,2102,28,80.68,83.34,83.34,98.72,client_stream,155.58,0,d62468582b4660ad
C rebase/25,4,,2148,2120,28,80.42,82.74,82.74,96.25,client_stream,146.13,0,b3f661ce875dff79
C rebase/25,5,,2166,2138,28,80.93,83.24,83.24,97.39,client_stream,149.19,0,bd799904ac242ad0
C rebase/25,6,,2184,2156,28,91.58,93.96,93.96,111.62,client_stream,174.2,0,fda6254b68c3f34d
C rebase/25,7,,2202,2174,28,81.35,83.81,83.81,97.52,client_stream,148.56,0,0f03a5dde1ce7ed7
C rebase/25,8,,2220,2192,28,82.18,84.57,84.57,98.58,client_stream,150.31,0,a4162b450cc32271
C rebase/25,9,,2238,2210,28,93.34,95.77,95.77,109.65,client_stream,161.1,0,78542f722a2c9fe1
C rebase/25,10,,2256,2228,28,82.57,84.95,84.95,99.05,client_stream,150.94,0,bb42ab0d040ea6c7
C rebase/25,11,,2274,2246,28,83.77,86.29,86.29,100.24,client_stream,152.25,0,2389e7e0a5e71544
C rebase/25,12,,2292,2264,28,84.45,86.84,86.84,100.79,client_stream,152.27,0,b41c1bf51da07ca2
C rebase/25,13,,2310,2282,28,85.53,88.11,88.11,104.31,client_stream,163.4,0,2dd1e09eaa12ab16
C rebase/25,14,,2328,2300,28,84.24,86.66,86.66,101.46,client_stream,155.75,0,6e6a8810eb1db8a1
C rebase/25,15,,2346,2318,28,91.42,93.85,93.85,108.14,client_stream,160.84,0,8ed461298d3b7b86
C rebase/25,16,,2364,2336,28,89.11,93.09,93.09,107.91,client_stream,168.31,0,b4eed09180a68082
C rebase/25,17,,2382,2354,28,86.26,88.69,88.69,103.91,client_stream,159.37,0,90624bb04b821f95
C rebase/25,18,,2400,2372,28,87.54,90.05,90.05,104.11,client_stream,156.43,0,6060d0ac50d9fac3
C rebase/25,19,,2418,2390,28,87.38,89.83,89.83,103.85,client_stream,155.82,0,42dcdb86f0ec5527
C rebase/25,20,,2436,2408,28,92.85,95.41,95.41,112.27,client_stream,173.13,0,7d8bc6925a3bc1c5
C rebase/25,21,,2454,2426,28,89.34,91.88,91.88,105.88,client_stream,158.14,0,872ed1557e3a1f01
C rebase/25,22,,2472,2444,28,89.99,92.46,92.46,108.08,client_stream,164.88,0,955664455b819cef
C rebase/25,23,,2490,2462,28,90.58,93.14,93.14,108.2,client_stream,163.74,0,e6c504b3a1eddb93
C rebase/25,24,,2508,2480,28,91.28,93.8,93.8,111.52,client_stream,174.96,0,1709f025e6da0654
C rebase/25,25,,2526,2516,10,47.78,50.3,50.3,65.31,client_stream,120.5,1,6bd2eddc8e8f466d
C rebase/25,26,,2544,2516,28,109.9,112.35,112.35,126.59,client_stream,179.25,0,8c94227a626cd7f1
C rebase/25,27,,2562,2534,28,92.39,94.84,94.84,116.11,client_stream,189.87,0,0cb1ccb9e92b2797
C rebase/25,28,,2580,2552,28,93.73,96.26,96.26,111.45,client_stream,167.22,0,902556e755b4e595
C rebase/25,29,,2598,2570,28,94.18,96.7,96.7,112.32,client_stream,169.35,0,de5b74b722e6bdd5
C rebase/25,30,,2616,2588,28,93.5,95.97,95.97,110.8,client_stream,165.28,0,1b45266ab9c188d3
C rebase/25,31,,2634,2606,28,95.13,97.65,97.65,113.91,client_stream,172.91,0,b3d016e7cc7998c0
C rebase/25,32,,2652,2624,28,95.47,98.03,98.03,112.69,client_stream,166.99,0,c9cab98251c013a9
C rebase/25,33,,2670,2642,28,95.12,97.78,97.78,112.43,client_stream,167.14,0,008b4fdfa3b00b50
C rebase/25,34,,2688,2660,28,98.31,100.96,100.96,115.62,client_stream,170.24,0,6ab9c8d0c7675eb2
C rebase/25,35,,2706,2678,28,97.3,99.89,99.89,114.78,client_stream,169.91,0,6e0bb6a0ca9ea2e3
C rebase/25,36,,2724,2696,28,98.44,100.99,100.99,115.73,client_stream,170.28,0,e0462d75b805b06b
C rebase/25,37,,2742,2714,28,100.59,103.26,103.26,119.54,client_stream,179.17,0,cf10f34500b990da
C rebase/25,38,,2760,2732,28,98.98,101.61,101.61,116.78,client_stream,172.9,0,df3b3945c2a239f2
C rebase/25,39,,2778,2750,28,100.0,102.62,102.62,119.61,client_stream,181.15,0,c233e49623e7d782
C rebase/25,40,,2796,2768,28,99.72,102.29,102.29,117.13,client_stream,172.04,0,e5221e0ba03eb0ec
C rebase/25,41,,2814,2786,28,99.44,102.19,102.19,119.11,client_stream,180.96,0,41bee671093c4cdc
C rebase/25,42,,2832,2804,28,101.14,103.8,103.8,119.52,client_stream,177.43,0,564a514eb7b9b11a
C rebase/25,43,,2850,2822,28,113.99,116.71,116.71,134.1,client_stream,197.25,0,623d143f07e10fc1
C rebase/25,44,,2868,2840,28,103.52,106.17,106.17,122.24,client_stream,181.16,0,951fae24d030b0fb
C rebase/25,45,,2886,2858,28,103.13,105.73,105.73,123.53,client_stream,187.45,0,8991ffd826bf9448
C rebase/25,46,,2904,2876,28,104.85,107.48,107.48,123.06,client_stream,180.39,0,2e4113df06adff3c
C rebase/25,47,,2922,2894,28,105.48,108.11,108.11,123.67,client_stream,180.95,0,0fd83775fb83fbfa
C rebase/25,48,,2940,2912,28,104.9,107.48,107.48,126.79,client_stream,195.19,0,fa472b33ba2a2ff3
C rebase/25,49,,2958,2930,28,106.1,108.75,108.75,127.2,client_stream,193.2,0,4c19b19a3c8e4b65
C rebase/25,50,,2976,2966,10,55.5,58.29,58.29,75.19,client_stream,137.14,1,0898e6464cb8f099
